subject,mode,repetition,metric,fault_line,competitor_line,source,movement,new_profile_helpful_PASS,new_profile_helpful_FAIL,new_profile_harmful_PASS,new_profile_harmful_FAIL,new_profile_net,test_helpful_PASS,test_helpful_FAIL,test_harmful_PASS,test_harmful_FAIL,test_net
expat_resume,afl,1,jaccard,2912,653,XML_ParserCreate(const XML_Char *encodingName),equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,655,"return XML_ParserCreate_MM(encodingName, NULL, NULL);",equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,887,get_hash_secret_salt(XML_Parser parser) {,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,888,if (parser->m_parentParser != NULL),equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,890,return parser->m_hash_secret_salt;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,894,startParsing(XML_Parser parser),equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,897,if (parser->m_hash_secret_salt == 0),equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,899,if (parser->m_ns) {,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,905,return XML_TRUE;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,909,"XML_ParserCreate_MM(const XML_Char *encodingName,",equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,913,"return parserCreate(encodingName, memsuite, nameSep, NULL);",equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,917,"parserCreate(const XML_Char *encodingName,",equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,924,if (memsuite) {,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,937,parser = (XML_Parser)malloc(sizeof(struct XML_ParserStruct));,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,938,if (parser != NULL) {,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,939,mtemp = (XML_Memory_Handling_Suite *)&(parser->m_mem);,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,940,mtemp->malloc_fcn = malloc;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,941,mtemp->realloc_fcn = realloc;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,942,mtemp->free_fcn = free;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,946,if (!parser),equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,949,parser->m_buffer = NULL;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,950,parser->m_bufferLim = NULL;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,952,parser->m_attsSize = INIT_ATTS_SIZE;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,953,"parser->m_atts = (ATTRIBUTE *)MALLOC(parser, parser->m_attsSize * sizeof(ATTRIBUTE));",equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,954,if (parser->m_atts == NULL) {,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,966,"parser->m_dataBuf = (XML_Char *)MALLOC(parser, INIT_DATA_BUF_SIZE * sizeof(XML_Char));",equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,967,if (parser->m_dataBuf == NULL) {,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,975,parser->m_dataBufEnd = parser->m_dataBuf + INIT_DATA_BUF_SIZE;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,977,if (dtd),equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,980,parser->m_dtd = dtdCreate(&parser->m_mem);,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,981,if (parser->m_dtd == NULL) {,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,992,parser->m_freeBindingList = NULL;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,993,parser->m_freeTagList = NULL;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,994,parser->m_freeInternalEntities = NULL;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,996,parser->m_groupSize = 0;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,997,parser->m_groupConnector = NULL;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,999,parser->m_unknownEncodingHandler = NULL;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1000,parser->m_unknownEncodingHandlerData = NULL;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1002,parser->m_namespaceSeparator = ASCII_EXCL;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1003,parser->m_ns = XML_FALSE;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1004,parser->m_ns_triplets = XML_FALSE;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1006,parser->m_nsAtts = NULL;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1007,parser->m_nsAttsVersion = 0;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1008,parser->m_nsAttsPower = 0;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1010,parser->m_protocolEncodingName = NULL;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1012,"poolInit(&parser->m_tempPool, &(parser->m_mem));",equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1013,"poolInit(&parser->m_temp2Pool, &(parser->m_mem));",equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1014,"parserInit(parser, encodingName);",equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1016,if (encodingName && !parser->m_protocolEncodingName) {,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1021,if (nameSep) {,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1027,parser->m_internalEncoding = XmlGetInternalEncoding();,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1030,return parser;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1034,"parserInit(XML_Parser parser, const XML_Char *encodingName)",equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1036,parser->m_processor = prologInitProcessor;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1037,XmlPrologStateInit(&parser->m_prologState);,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1038,if (encodingName != NULL) {,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1041,parser->m_curBase = NULL;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1042,"XmlInitEncoding(&parser->m_initEncoding, &parser->m_encoding, 0);",equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1043,parser->m_userData = NULL;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1044,parser->m_handlerArg = NULL;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1045,parser->m_startElementHandler = NULL;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1046,parser->m_endElementHandler = NULL;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1047,parser->m_characterDataHandler = NULL;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1048,parser->m_processingInstructionHandler = NULL;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1049,parser->m_commentHandler = NULL;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1050,parser->m_startCdataSectionHandler = NULL;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1051,parser->m_endCdataSectionHandler = NULL;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1052,parser->m_defaultHandler = NULL;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1053,parser->m_startDoctypeDeclHandler = NULL;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1054,parser->m_endDoctypeDeclHandler = NULL;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1055,parser->m_unparsedEntityDeclHandler = NULL;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1056,parser->m_notationDeclHandler = NULL;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1057,parser->m_startNamespaceDeclHandler = NULL;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1058,parser->m_endNamespaceDeclHandler = NULL;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1059,parser->m_notStandaloneHandler = NULL;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1060,parser->m_externalEntityRefHandler = NULL;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1061,parser->m_externalEntityRefHandlerArg = parser;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1062,parser->m_skippedEntityHandler = NULL;,equal,0,0,0,0,0,0,0,0,0,0
expat_resume,afl,1,jaccard,2912,1063,parser->m_elementDeclHandler = NULL;,equal,0,0,0,0,0,0,0,0,0,0
