best_rank,average_rank,worst_rank,line,score,ef,ep,nf,np,faulty,source
1,21.0,41,1992,1.000000000000,16,0,0,6,False,case XML_SUSPENDED:
1,21.0,41,1993,1.000000000000,16,0,0,6,False,result = XML_STATUS_SUSPENDED;
1,21.0,41,1994,1.000000000000,16,0,0,6,False,break;
1,21.0,41,2005,1.000000000000,16,0,0,6,False,"XmlUpdatePosition(parser->m_encoding, parser->m_positionPtr, parser->m_bufferPtr, &parser->m_position);"
1,21.0,41,2006,1.000000000000,16,0,0,6,False,parser->m_positionPtr = parser->m_bufferPtr;
1,21.0,41,2007,1.000000000000,16,0,0,6,False,return result;
1,21.0,41,2109,1.000000000000,16,0,0,6,False,"XML_StopParser(XML_Parser parser, XML_Bool resumable)"
1,21.0,41,2111,1.000000000000,16,0,0,6,False,if (parser == NULL)
1,21.0,41,2113,1.000000000000,16,0,0,6,False,switch (parser->m_parsingStatus.parsing) {
1,21.0,41,2124,1.000000000000,16,0,0,6,False,default:
1,21.0,41,2125,1.000000000000,16,0,0,6,False,if (resumable) {
1,21.0,41,2127,1.000000000000,16,0,0,6,False,if (parser->m_isParamEntity) {
1,21.0,41,2132,1.000000000000,16,0,0,6,False,parser->m_parsingStatus.parsing = XML_SUSPENDED;
1,21.0,41,2137,1.000000000000,16,0,0,6,False,return XML_STATUS_OK;
1,21.0,41,2141,1.000000000000,16,0,0,6,False,XML_ResumeParser(XML_Parser parser)
1,21.0,41,2143,1.000000000000,16,0,0,6,False,enum XML_Status result = XML_STATUS_OK;
1,21.0,41,2145,1.000000000000,16,0,0,6,False,if (parser == NULL)
1,21.0,41,2147,1.000000000000,16,0,0,6,False,if (parser->m_parsingStatus.parsing != XML_SUSPENDED) {
1,21.0,41,2151,1.000000000000,16,0,0,6,False,parser->m_parsingStatus.parsing = XML_PARSING;
1,21.0,41,2153,1.000000000000,16,0,0,6,False,"parser->m_errorCode = parser->m_processor(parser, parser->m_bufferPtr, parser->m_parseEndPtr, &parser->m_bufferPtr);"
1,21.0,41,2155,1.000000000000,16,0,0,6,False,if (parser->m_errorCode != XML_ERROR_NONE) {
1,21.0,41,2156,1.000000000000,16,0,0,6,False,parser->m_eventEndPtr = parser->m_eventPtr;
1,21.0,41,2157,1.000000000000,16,0,0,6,False,parser->m_processor = errorProcessor;
1,21.0,41,2158,1.000000000000,16,0,0,6,False,return XML_STATUS_ERROR;
1,21.0,41,2190,1.000000000000,16,0,0,6,False,XML_GetErrorCode(XML_Parser parser)
1,21.0,41,2192,1.000000000000,16,0,0,6,False,if (parser == NULL)
1,21.0,41,2194,1.000000000000,16,0,0,6,False,return parser->m_errorCode;
