mode,metric,n,mean,median,min,max,stdev
afl,added_PASS,5,13.8,12,11,19,3.5637059362410923
afl,added_FAIL,5,10.8,10,1,20,7.463243262818116
afl,generated_UNRESOLVED,5,1563.8,1564,1536,1604,25.55777768116782
afl,usable_rate,5,0.01544352264784391,0.014120667522464698,0.007614213197969543,0.02455919395465995,0.006703237058169037
afl,execs_done,5,777567.2,792882,711387,804412,38136.997164171175
afl,paths_total,5,1604.4,1600,1574,1652,28.996551519103093
afl,stability,5,100.0,100.0,100.0,100.0,0.0
afl,distinct_PASS_profiles,5,7.6,7,6,11,2.073644135332772
afl,distinct_FAIL_profiles,5,5.2,6,1,8,2.7748873851023217
afl,new_PASS_profiles,5,6.4,6,5,9,1.6733200530681511
afl,new_FAIL_profiles,5,3.2,3,1,7,2.4899799195977463
afl,havoc_smart_retained,5,0,0,0,0,0.0
afl,jaccard_best_rank,5,87.2,90,72,98,9.549869109050658
afl,jaccard_average_rank,5,327.7,330.5,312.5,338.5,9.549869109050658
afl,jaccard_worst_rank,5,568.2,571,553,579,9.549869109050658
afl,jaccard_exam_percentage,5,8.90005431830527,8.976099945681694,8.487235198261814,9.193373166757198,0.25936635277160947
afl,jaccard_tie_size,5,482,482,482,482,0.0
afl,jaccard_baseline_tied_above,5,37.6,42,24,42,7.797435475847172
afl,jaccard_baseline_tied_below,5,4.4,0,0,18,7.797435475847172
afl,ochiai_best_rank,5,81.6,86,62,98,14.449913494550755
afl,ochiai_average_rank,5,322.1,326.5,302.5,338.5,14.449913494550755
afl,ochiai_worst_rank,5,562.6,567,543,579,14.449913494550755
afl,ochiai_exam_percentage,5,8.747963063552417,8.867463335143944,8.215643671917435,9.193373166757198,0.39244740615292684
afl,ochiai_tie_size,5,482,482,482,482,0.0
afl,ochiai_baseline_tied_above,5,32,38,14,42,12.489995996796797
afl,ochiai_baseline_tied_below,5,10,4,0,28,12.489995996796797
aflsmart-mixed,added_PASS,5,15.4,15,13,19,2.6076809620810595
aflsmart-mixed,added_FAIL,5,12,11,8,18,4.06201920231798
aflsmart-mixed,generated_UNRESOLVED,5,1315,1329,1259,1342,32.73377460666582
aflsmart-mixed,usable_rate,5,0.02037269632748468,0.020618556701030927,0.017011834319526627,0.024480712166172106,0.003291178828592253
aflsmart-mixed,execs_done,5,753937.2,750360,742186,769991,12623.021852947892
aflsmart-mixed,paths_total,5,1358.4,1368,1297,1389,35.61319980007413
aflsmart-mixed,stability,5,100.0,100.0,100.0,100.0,0.0
aflsmart-mixed,distinct_PASS_profiles,5,8.8,8,6,11,2.16794833886788
aflsmart-mixed,distinct_FAIL_profiles,5,6,5,5,8,1.4142135623730951
aflsmart-mixed,new_PASS_profiles,5,7.6,7,5,10,1.949358868961793
aflsmart-mixed,new_FAIL_profiles,5,3.4,4,2,4,0.8944271909999159
aflsmart-mixed,havoc_smart_retained,5,13.4,12,11,16,2.4083189157584592
aflsmart-mixed,jaccard_best_rank,5,91.6,90,90,98,3.5777087639996634
aflsmart-mixed,jaccard_average_rank,5,332.1,330.5,330.5,338.5,3.5777087639996634
aflsmart-mixed,jaccard_worst_rank,5,572.6,571,571,579,3.5777087639996634
aflsmart-mixed,jaccard_exam_percentage,5,9.019554589896796,8.976099945681694,8.976099945681694,9.193373166757198,0.09716753840303306
aflsmart-mixed,jaccard_tie_size,5,482,482,482,482,0.0
aflsmart-mixed,jaccard_baseline_tied_above,5,42,42,42,42,0.0
aflsmart-mixed,jaccard_baseline_tied_below,5,0,0,0,0,0.0
aflsmart-mixed,ochiai_best_rank,5,82.8,86,62,90,11.798304963002101
aflsmart-mixed,ochiai_average_rank,5,323.3,326.5,302.5,330.5,11.798304963002101
aflsmart-mixed,ochiai_worst_rank,5,563.8,567,543,571,11.798304963002101
aflsmart-mixed,ochiai_exam_percentage,5,8.780554046713743,8.867463335143944,8.215643671917435,8.976099945681694,0.3204319653178193
aflsmart-mixed,ochiai_tie_size,5,482,482,482,482,0.0
aflsmart-mixed,ochiai_baseline_tied_above,5,34.8,38,14,42,11.798304963002101
aflsmart-mixed,ochiai_baseline_tied_below,5,7.2,4,0,28,11.798304963002101
aflsmart-nonstack,added_PASS,5,20.6,22,14,26,4.979959839195493
aflsmart-nonstack,added_FAIL,5,17.2,13,9,32,9.444575162494075
aflsmart-nonstack,generated_UNRESOLVED,5,1363.6,1394,1296,1396,45.0643983650065
aflsmart-nonstack,usable_rate,5,0.026957820587616508,0.024070021881838075,0.017593244194229415,0.03994490358126722,0.009027417648910966
aflsmart-nonstack,execs_done,5,755764.6,751634,744091,767502,10407.854740531307
aflsmart-nonstack,paths_total,5,1417.4,1437,1355,1468,45.478566380219156
aflsmart-nonstack,stability,5,100.0,100.0,100.0,100.0,0.0
aflsmart-nonstack,distinct_PASS_profiles,5,9.2,10,6,12,2.280350850198276
aflsmart-nonstack,distinct_FAIL_profiles,5,7.6,7,6,9,1.3416407864998738
aflsmart-nonstack,new_PASS_profiles,5,7.6,8,5,11,2.3021728866442674
aflsmart-nonstack,new_FAIL_profiles,5,7,7,5,9,1.4142135623730951
aflsmart-nonstack,havoc_smart_retained,5,28.6,26,24,42,7.602631123499285
aflsmart-nonstack,jaccard_best_rank,5,70.8,76,48,86,14.601369798755185
