mode,repetition,added_PASS,added_FAIL,generated_UNRESOLVED,usable_rate,execs_done,paths_total,stability,distinct_PASS_profiles,distinct_FAIL_profiles,new_PASS_profiles,new_FAIL_profiles,havoc_smart_retained,jaccard_best_rank,jaccard_average_rank,jaccard_worst_rank,jaccard_exam_percentage,jaccard_tie_size,jaccard_baseline_tied_above,jaccard_baseline_tied_below,ochiai_best_rank,ochiai_average_rank,ochiai_worst_rank,ochiai_exam_percentage,ochiai_tie_size,ochiai_baseline_tied_above,ochiai_baseline_tied_below
afl,1,16,16,1604,0.019559902200488997,779723,1652,100.0,6,7,5,4,0,86,326.5,567,8.867463335143944,482,38,4,86,326.5,567,8.867463335143944,482,38,4
aflsmart-mixed,1,15,8,1329,0.017011834319526627,764263,1368,100.0,8,5,7,4,16,90,330.5,571,8.976099945681694,482,42,0,86,326.5,567,8.867463335143944,482,38,4
aflsmart-nonstack,1,26,32,1394,0.03994490358126722,744091,1468,100.0,12,9,11,9,24,78,318.5,559,8.65019011406844,482,30,12,78,318.5,559,8.65019011406844,482,30,12
afl,2,12,10,1536,0.014120667522464698,711387,1574,100.0,11,4,9,1,0,90,330.5,571,8.976099945681694,482,42,0,90,330.5,571,8.976099945681694,482,42,0
aflsmart-mixed,2,19,14,1315,0.024480712166172106,742186,1364,100.0,11,8,9,4,11,90,330.5,571,8.976099945681694,482,42,0,90,330.5,571,8.976099945681694,482,42,0
aflsmart-nonstack,2,17,13,1394,0.021067415730337078,751634,1440,100.0,10,9,8,7,27,76,316.5,557,8.595871808799565,482,28,14,72,312.5,553,8.487235198261814,482,24,18
afl,3,19,20,1549,0.02455919395465995,799432,1604,100.0,7,8,6,7,0,72,312.5,553,8.487235198261814,482,24,18,72,312.5,553,8.487235198261814,482,24,18
aflsmart-mixed,3,17,11,1330,0.020618556701030927,769991,1374,100.0,11,5,10,3,16,98,338.5,579,9.193373166757198,482,42,0,90,330.5,571,8.976099945681694,482,42,0
aflsmart-nonstack,3,24,9,1338,0.024070021881838075,767502,1387,100.0,10,6,8,5,26,86,326.5,567,8.867463335143944,482,38,4,62,302.5,543,8.215643671917435,482,14,28
afl,4,11,7,1566,0.011363636363636364,792882,1600,100.0,6,6,5,3,0,90,330.5,571,8.976099945681694,482,42,0,62,302.5,543,8.215643671917435,482,14,28
aflsmart-mixed,4,13,9,1259,0.01717408274785324,742886,1297,100.0,8,7,7,4,12,90,330.5,571,8.976099945681694,482,42,0,86,326.5,567,8.867463335143944,482,38,4
aflsmart-nonstack,4,22,21,1296,0.03211351755041075,749615,1355,100.0,8,7,6,7,42,66,306.5,547,8.324280282455188,482,24,18,42,282.5,523,7.67246061922868,482,0,42
afl,5,11,1,1564,0.007614213197969543,804412,1592,100.0,8,1,7,1,0,98,338.5,579,9.193373166757198,482,42,0,98,338.5,579,9.193373166757198,482,42,0
aflsmart-mixed,5,13,18,1342,0.022578295702840496,750360,1389,100.0,6,5,5,2,12,90,330.5,571,8.976099945681694,482,42,0,62,302.5,543,8.215643671917435,482,14,28
aflsmart-nonstack,5,14,11,1396,0.017593244194229415,765981,1437,100.0,6,7,5,7,24,48,288.5,529,7.835415535035307,482,0,42,48,288.5,529,7.835415535035307,482,0,42
