mode,repetition,added_PASS,added_FAIL,generated_UNRESOLVED,usable_rate,execs_done,paths_total,stability,distinct_PASS_profiles,distinct_FAIL_profiles,new_PASS_profiles,new_FAIL_profiles,havoc_smart_retained,jaccard_best_rank,jaccard_average_rank,jaccard_worst_rank,jaccard_exam_percentage,jaccard_tie_size,jaccard_baseline_tied_above,jaccard_baseline_tied_below,ochiai_best_rank,ochiai_average_rank,ochiai_worst_rank,ochiai_exam_percentage,ochiai_tie_size,ochiai_baseline_tied_above,ochiai_baseline_tied_below
afl,1,349,14,1136,0.24216144096064043,868882,1516,100.0,50,10,45,7,0,1,3.5,6,0.5804311774461028,6,0,11,1,3.5,6,0.5804311774461028,6,0,11
aflsmart-mixed,1,304,12,1090,0.22475106685633,845635,1424,100.0,53,7,47,6,7,1,3.0,5,0.4975124378109453,5,0,12,1,3.0,5,0.4975124378109453,5,0,12
aflsmart-nonstack,1,330,10,1071,0.24096385542168675,861063,1430,100.0,47,9,41,8,34,1,3.5,6,0.5804311774461028,6,0,11,1,3.5,6,0.5804311774461028,6,0,11
afl,2,341,12,1118,0.2399728076138681,877224,1490,100.0,59,4,52,2,0,1,3.0,5,0.4975124378109453,5,0,12,1,3.0,5,0.4975124378109453,5,0,12
aflsmart-mixed,2,308,14,1054,0.23401162790697674,836827,1393,100.0,46,9,39,6,10,1,3.0,5,0.4975124378109453,5,0,12,1,3.0,5,0.4975124378109453,5,0,12
aflsmart-nonstack,2,274,12,1090,0.20784883720930233,861135,1395,100.0,41,9,36,5,45,1,3.5,6,0.5804311774461028,6,0,11,1,3.5,6,0.5804311774461028,6,0,11
afl,3,276,14,1187,0.1963439404197698,874296,1495,100.0,42,10,36,9,0,1,3.5,6,0.5804311774461028,6,0,11,1,3.5,6,0.5804311774461028,6,0,11
aflsmart-mixed,3,270,7,991,0.21845425867507887,830392,1286,100.0,45,6,40,4,5,1,9.0,17,1.492537313432836,17,0,0,1,9.0,17,1.492537313432836,17,0,0
aflsmart-nonstack,3,332,10,1012,0.25258493353028066,839549,1373,100.0,42,7,35,4,36,1,9.0,17,1.492537313432836,17,0,0,1,9.0,17,1.492537313432836,17,0,0
afl,4,307,19,1167,0.21835231078365708,861396,1512,100.0,45,7,39,5,0,1,9.0,17,1.492537313432836,17,0,0,1,9.0,17,1.492537313432836,17,0,0
aflsmart-mixed,4,285,29,1060,0.22852983988355166,783225,1393,100.0,42,15,36,13,12,1,9.0,17,1.492537313432836,17,0,0,1,9.0,17,1.492537313432836,17,0,0
aflsmart-nonstack,4,260,11,1132,0.1931575196008553,842590,1422,100.0,41,10,36,8,39,1,3.0,5,0.4975124378109453,5,0,12,1,3.0,5,0.4975124378109453,5,0,12
afl,5,320,21,1152,0.22839919624916277,860177,1512,100.0,55,13,50,12,0,1,3.5,6,0.5804311774461028,6,0,11,1,3.5,6,0.5804311774461028,6,0,11
aflsmart-mixed,5,306,15,1022,0.23901712583767684,835663,1361,100.0,49,10,43,6,12,1,3.5,6,0.5804311774461028,6,0,11,1,3.5,6,0.5804311774461028,6,0,11
aflsmart-nonstack,5,278,10,1133,0.20267417311752287,857239,1440,100.0,54,9,48,7,33,1,9.0,17,1.492537313432836,17,0,0,1,9.0,17,1.492537313432836,17,0,0
