mode,run_name,repetition,duration_seconds,baseline_tests,added_fuzz_tests,added_PASS,added_FAIL,combined_PASS,combined_FAIL,combined_total,jaccard_score,jaccard_best_rank,jaccard_average_rank,jaccard_worst_rank,jaccard_exam_percentage,ochiai_score,ochiai_best_rank,ochiai_average_rank,ochiai_worst_rank,ochiai_exam_percentage
afl,afl_r1_20260827_002930_193103,1,300,86,6,6,0,63,29,92,1.0,1,1.0,1,1.5151515151515151,1.0,1,1.0,1,1.5151515151515151
afl,afl_r2_20260827_003430_861386,2,300,86,7,7,0,64,29,93,1.0,1,1.0,1,1.5151515151515151,1.0,1,1.0,1,1.5151515151515151
afl,afl_r3_20260827_003931_391609,3,300,86,9,9,0,66,29,95,1.0,1,1.0,1,1.5151515151515151,1.0,1,1.0,1,1.5151515151515151
afl,afl_r4_20260827_004432_001829,4,300,86,6,6,0,63,29,92,1.0,1,1.0,1,1.5151515151515151,1.0,1,1.0,1,1.5151515151515151
afl,afl_r5_20260827_004932_638405,5,300,86,8,8,0,65,29,94,1.0,1,1.0,1,1.5151515151515151,1.0,1,1.0,1,1.5151515151515151
aflsmart-mixed,aflsmart-mixed_r1_20260827_100954_067220,1,300,86,12,11,1,68,30,98,1.0,1,1.0,1,1.5151515151515151,1.0,1,1.0,1,1.5151515151515151
aflsmart-mixed,aflsmart-mixed_r2_20260827_101454_983995,2,300,86,13,11,2,68,31,99,1.0,1,1.0,1,1.5151515151515151,1.0,1,1.0,1,1.5151515151515151
aflsmart-mixed,aflsmart-mixed_r3_20260827_101955_778079,3,300,86,6,5,1,62,30,92,1.0,1,1.0,1,1.5151515151515151,1.0,1,1.0,1,1.5151515151515151
aflsmart-mixed,aflsmart-mixed_r4_20260827_102456_534428,4,300,86,12,8,4,65,33,98,1.0,1,1.0,1,1.5151515151515151,1.0,1,1.0,1,1.5151515151515151
aflsmart-mixed,aflsmart-mixed_r5_20260827_102957_256362,5,300,86,7,6,1,63,30,93,1.0,1,1.0,1,1.5151515151515151,1.0,1,1.0,1,1.5151515151515151
aflsmart-nonstack,aflsmart-nonstack_r1_20260827_105440_840214,1,300,86,15,11,4,68,33,101,1.0,1,1.0,1,1.5151515151515151,1.0,1,1.0,1,1.5151515151515151
aflsmart-nonstack,aflsmart-nonstack_r2_20260827_105941_917613,2,300,86,17,3,14,60,43,103,1.0,1,1.0,1,1.5151515151515151,1.0,1,1.0,1,1.5151515151515151
aflsmart-nonstack,aflsmart-nonstack_r3_20260827_110442_807336,3,300,86,7,7,0,64,29,93,1.0,1,1.0,1,1.5151515151515151,1.0,1,1.0,1,1.5151515151515151
aflsmart-nonstack,aflsmart-nonstack_r4_20260827_110943_478738,4,300,86,12,4,8,61,37,98,1.0,1,1.0,1,1.5151515151515151,1.0,1,1.0,1,1.5151515151515151
aflsmart-nonstack,aflsmart-nonstack_r5_20260827_111444_172375,5,300,86,17,8,9,65,38,103,1.0,1,1.0,1,1.5151515151515151,1.0,1,1.0,1,1.5151515151515151
