mode,repetition,run_name,git_commit,duration_seconds,execs_done,paths_found,paths_total,queue_entries,pass,fail,generated_fail_tests,unresolved,usable,usable_rate,pass_profiles,fail_profiles,peach_chunks
afl,1,afl_r1_20260827_002930_193103,c9a612fa46b81a32ae184b5521c564dd12b05df2,300,483021,13,14,14,6,1,0,7,7,0.5,3,1,0
afl,2,afl_r2_20260827_003430_861386,c9a612fa46b81a32ae184b5521c564dd12b05df2,300,552962,14,15,15,7,1,0,7,8,0.5333333333333333,2,1,0
afl,3,afl_r3_20260827_003931_391609,c9a612fa46b81a32ae184b5521c564dd12b05df2,300,556376,17,18,18,9,1,0,8,10,0.5555555555555556,3,1,0
afl,4,afl_r4_20260827_004432_001829,c9a612fa46b81a32ae184b5521c564dd12b05df2,300,512849,12,13,13,6,1,0,6,7,0.5384615384615384,3,1,0
afl,5,afl_r5_20260827_004932_638405,c9a612fa46b81a32ae184b5521c564dd12b05df2,300,548888,15,16,16,8,1,0,7,9,0.5625,3,1,0
aflsmart-mixed,1,aflsmart-mixed_r1_20260827_100954_067220,c9a612fa46b81a32ae184b5521c564dd12b05df2,300,399029,27,28,28,11,2,1,15,13,0.4642857142857143,4,2,9
aflsmart-mixed,2,aflsmart-mixed_r2_20260827_101454_983995,c9a612fa46b81a32ae184b5521c564dd12b05df2,300,317160,25,26,26,11,3,2,12,14,0.5384615384615384,4,3,3
aflsmart-mixed,3,aflsmart-mixed_r3_20260827_101955_778079,c9a612fa46b81a32ae184b5521c564dd12b05df2,300,310727,22,23,23,5,2,1,16,7,0.30434782608695654,3,2,4
aflsmart-mixed,4,aflsmart-mixed_r4_20260827_102456_534428,c9a612fa46b81a32ae184b5521c564dd12b05df2,300,311495,23,24,24,8,5,4,11,13,0.5416666666666666,4,4,7
aflsmart-mixed,5,aflsmart-mixed_r5_20260827_102957_256362,c9a612fa46b81a32ae184b5521c564dd12b05df2,300,312895,19,20,20,6,2,1,12,8,0.4,4,2,4
aflsmart-nonstack,1,aflsmart-nonstack_r1_20260827_105440_840214,c9a612fa46b81a32ae184b5521c564dd12b05df2,300,380670,29,30,30,11,5,4,14,16,0.5333333333333333,3,1,11
aflsmart-nonstack,2,aflsmart-nonstack_r2_20260827_105941_917613,c9a612fa46b81a32ae184b5521c564dd12b05df2,300,343398,28,29,29,3,15,14,11,18,0.6206896551724138,3,4,8
aflsmart-nonstack,3,aflsmart-nonstack_r3_20260827_110442_807336,c9a612fa46b81a32ae184b5521c564dd12b05df2,300,309744,15,16,16,7,1,0,8,8,0.5,3,1,1
aflsmart-nonstack,4,aflsmart-nonstack_r4_20260827_110943_478738,c9a612fa46b81a32ae184b5521c564dd12b05df2,300,339608,22,23,23,4,9,8,10,13,0.5652173913043478,3,2,5
aflsmart-nonstack,5,aflsmart-nonstack_r5_20260827_111444_172375,c9a612fa46b81a32ae184b5521c564dd12b05df2,300,366828,30,31,31,8,10,9,13,18,0.5806451612903226,4,3,10
