line,source,ef,ep,nf,np,jaccard,ochiai,faulty
172,yaml_set_max_nest_level(int max),0,0,16,25,0.000000000000,0.000000000000,False
174,MAX_NESTING_LEVEL = max;,0,0,16,25,0.000000000000,0.000000000000,False
175,},0,0,16,25,0.000000000000,0.000000000000,False
182,"yaml_parser_parse(yaml_parser_t *parser, yaml_event_t *event)",16,25,0,0,0.390243902439,0.624695047554,False
184,assert(parser);     /* Non-NULL parser object is expected. */,16,25,0,0,0.390243902439,0.624695047554,False
185,assert(event);      /* Non-NULL event object is expected. */,16,25,0,0,0.390243902439,0.624695047554,False
189,"memset(event, 0, sizeof(yaml_event_t));",16,25,0,0,0.390243902439,0.624695047554,False
193,if (parser->stream_end_produced || parser->error ||,16,25,0,0,0.390243902439,0.624695047554,False
194,parser->state == YAML_PARSE_END_STATE) {,16,25,0,0,0.390243902439,0.624695047554,False
195,return 1;,0,0,16,25,0.000000000000,0.000000000000,False
200,"return yaml_parser_state_machine(parser, event);",16,25,0,0,0.390243902439,0.624695047554,False
208,"yaml_parser_set_parser_error(yaml_parser_t *parser,",0,0,16,25,0.000000000000,0.000000000000,False
211,parser->error = YAML_PARSER_ERROR;,0,0,16,25,0.000000000000,0.000000000000,False
212,parser->problem = problem;,0,0,16,25,0.000000000000,0.000000000000,False
213,parser->problem_mark = problem_mark;,0,0,16,25,0.000000000000,0.000000000000,False
215,return 0;,0,0,16,25,0.000000000000,0.000000000000,False
219,"yaml_parser_set_parser_error_context(yaml_parser_t *parser,",0,0,16,25,0.000000000000,0.000000000000,False
223,parser->error = YAML_PARSER_ERROR;,0,0,16,25,0.000000000000,0.000000000000,False
224,parser->context = context;,0,0,16,25,0.000000000000,0.000000000000,False
225,parser->context_mark = context_mark;,0,0,16,25,0.000000000000,0.000000000000,False
226,parser->problem = problem;,0,0,16,25,0.000000000000,0.000000000000,False
227,parser->problem_mark = problem_mark;,0,0,16,25,0.000000000000,0.000000000000,False
229,return 0;,0,0,16,25,0.000000000000,0.000000000000,False
233,"yaml_maximum_level_reached(yaml_parser_t *parser,",0,0,16,25,0.000000000000,0.000000000000,False
236,"yaml_parser_set_parser_error_context(parser,",0,0,16,25,0.000000000000,0.000000000000,False
238,return 0;,0,0,16,25,0.000000000000,0.000000000000,False
246,"yaml_parser_state_machine(yaml_parser_t *parser, yaml_event_t *event)",16,25,0,0,0.390243902439,0.624695047554,False
248,switch (parser->state),16,25,0,0,0.390243902439,0.624695047554,False
250,case YAML_PARSE_STREAM_START_STATE:,16,25,0,0,0.390243902439,0.624695047554,False
251,"return yaml_parser_parse_stream_start(parser, event);",16,25,0,0,0.390243902439,0.624695047554,False
253,case YAML_PARSE_IMPLICIT_DOCUMENT_START_STATE:,16,25,0,0,0.390243902439,0.624695047554,False
254,"return yaml_parser_parse_document_start(parser, event, 1);",16,25,0,0,0.390243902439,0.624695047554,False
256,case YAML_PARSE_DOCUMENT_START_STATE:,16,23,0,2,0.410256410256,0.640512615220,False
257,"return yaml_parser_parse_document_start(parser, event, 0);",16,23,0,2,0.410256410256,0.640512615220,False
259,case YAML_PARSE_DOCUMENT_CONTENT_STATE:,3,2,13,23,0.166666666667,0.335410196625,False
260,"return yaml_parser_parse_document_content(parser, event);",3,2,13,23,0.166666666667,0.335410196625,False
262,case YAML_PARSE_DOCUMENT_END_STATE:,16,23,0,2,0.410256410256,0.640512615220,False
263,"return yaml_parser_parse_document_end(parser, event);",16,23,0,2,0.410256410256,0.640512615220,False
265,case YAML_PARSE_BLOCK_NODE_STATE:,13,21,3,4,0.351351351351,0.557370401713,False
266,"return yaml_parser_parse_node(parser, event, 1, 0);",13,21,3,4,0.351351351351,0.557370401713,False
268,case YAML_PARSE_BLOCK_NODE_OR_INDENTLESS_SEQUENCE_STATE:,0,0,16,25,0.000000000000,0.000000000000,False
269,"return yaml_parser_parse_node(parser, event, 1, 1);",0,0,16,25,0.000000000000,0.000000000000,False
271,case YAML_PARSE_FLOW_NODE_STATE:,0,0,16,25,0.000000000000,0.000000000000,False
272,"return yaml_parser_parse_node(parser, event, 0, 0);",0,0,16,25,0.000000000000,0.000000000000,False
274,case YAML_PARSE_BLOCK_SEQUENCE_FIRST_ENTRY_STATE:,0,0,16,25,0.000000000000,0.000000000000,False
275,"return yaml_parser_parse_block_sequence_entry(parser, event, 1);",0,0,16,25,0.000000000000,0.000000000000,False
277,case YAML_PARSE_BLOCK_SEQUENCE_ENTRY_STATE:,0,0,16,25,0.000000000000,0.000000000000,False
278,"return yaml_parser_parse_block_sequence_entry(parser, event, 0);",0,0,16,25,0.000000000000,0.000000000000,False
280,case YAML_PARSE_INDENTLESS_SEQUENCE_ENTRY_STATE:,0,0,16,25,0.000000000000,0.000000000000,False
281,"return yaml_parser_parse_indentless_sequence_entry(parser, event);",0,0,16,25,0.000000000000,0.000000000000,False
283,case YAML_PARSE_BLOCK_MAPPING_FIRST_KEY_STATE:,0,4,16,21,0.000000000000,0.000000000000,False
284,"return yaml_parser_parse_block_mapping_key(parser, event, 1);",0,4,16,21,0.000000000000,0.000000000000,False
286,case YAML_PARSE_BLOCK_MAPPING_KEY_STATE:,0,4,16,21,0.000000000000,0.000000000000,False
287,"return yaml_parser_parse_block_mapping_key(parser, event, 0);",0,4,16,21,0.000000000000,0.000000000000,False
289,case YAML_PARSE_BLOCK_MAPPING_VALUE_STATE:,0,4,16,21,0.000000000000,0.000000000000,False
290,"return yaml_parser_parse_block_mapping_value(parser, event);",0,4,16,21,0.000000000000,0.000000000000,False
292,case YAML_PARSE_FLOW_SEQUENCE_FIRST_ENTRY_STATE:,16,4,0,21,0.800000000000,0.894427191000,False
293,"return yaml_parser_parse_flow_sequence_entry(parser, event, 1);",16,4,0,21,0.800000000000,0.894427191000,False
295,case YAML_PARSE_FLOW_SEQUENCE_ENTRY_STATE:,16,4,0,21,0.800000000000,0.894427191000,False
296,"return yaml_parser_parse_flow_sequence_entry(parser, event, 0);",16,4,0,21,0.800000000000,0.894427191000,False
298,case YAML_PARSE_FLOW_SEQUENCE_ENTRY_MAPPING_KEY_STATE:,16,0,0,25,1.000000000000,1.000000000000,False
299,"return yaml_parser_parse_flow_sequence_entry_mapping_key(parser, event);",16,0,0,25,1.000000000000,1.000000000000,False
301,case YAML_PARSE_FLOW_SEQUENCE_ENTRY_MAPPING_VALUE_STATE:,0,0,16,25,0.000000000000,0.000000000000,False
302,"return yaml_parser_parse_flow_sequence_entry_mapping_value(parser, event);",0,0,16,25,0.000000000000,0.000000000000,False
304,case YAML_PARSE_FLOW_SEQUENCE_ENTRY_MAPPING_END_STATE:,0,0,16,25,0.000000000000,0.000000000000,False
305,"return yaml_parser_parse_flow_sequence_entry_mapping_end(parser, event);",0,0,16,25,0.000000000000,0.000000000000,False
