mode,metric,n,mean,median,min,max,stdev
afl,added_PASS,5,318.6,320,276,349,29.056840846864272
afl,added_FAIL,5,16,14,12,21,3.8078865529319543
afl,generated_UNRESOLVED,5,1152,1152,1118,1187,26.74883175019051
afl,usable_rate,5,0.22504593920541963,0.22839919624916277,0.1963439404197698,0.24216144096064043,0.018678902064612823
afl,execs_done,5,868395,868882,860177,877224,7575.152407707716
afl,paths_total,5,1505,1512,1490,1516,11.661903789690601
afl,stability,5,100.0,100.0,100.0,100.0,0.0
afl,distinct_PASS_profiles,5,50.2,50,42,59,6.97853852894716
afl,distinct_FAIL_profiles,5,8.8,10,4,13,3.420526275297414
afl,new_PASS_profiles,5,44.4,45,36,52,6.877499545619759
afl,new_FAIL_profiles,5,7,7,2,12,3.8078865529319543
afl,havoc_smart_retained,5,0,0,0,0,0.0
afl,jaccard_best_rank,5,1,1,1,1,0.0
afl,jaccard_average_rank,5,4.5,3.5,3.0,9.0,2.5248762345905194
afl,jaccard_worst_rank,5,8,6,5,17,5.049752469181039
afl,jaccard_exam_percentage,5,0.746268656716418,0.5804311774461028,0.4975124378109453,1.492537313432836,0.41871911021401653
afl,jaccard_tie_size,5,8,6,5,17,5.049752469181039
afl,jaccard_baseline_tied_above,5,0,0,0,0,0.0
afl,jaccard_baseline_tied_below,5,9,11,0,12,5.049752469181039
afl,ochiai_best_rank,5,1,1,1,1,0.0
afl,ochiai_average_rank,5,4.5,3.5,3.0,9.0,2.5248762345905194
afl,ochiai_worst_rank,5,8,6,5,17,5.049752469181039
afl,ochiai_exam_percentage,5,0.746268656716418,0.5804311774461028,0.4975124378109453,1.492537313432836,0.41871911021401653
afl,ochiai_tie_size,5,8,6,5,17,5.049752469181039
afl,ochiai_baseline_tied_above,5,0,0,0,0,0.0
afl,ochiai_baseline_tied_below,5,9,11,0,12,5.049752469181039
aflsmart-mixed,added_PASS,5,294.6,304,270,308,16.546903033498445
aflsmart-mixed,added_FAIL,5,15.4,14,7,29,8.203657720797473
aflsmart-mixed,generated_UNRESOLVED,5,1043.4,1054,991,1090,37.95787138394354
aflsmart-mixed,usable_rate,5,0.22895278383192283,0.22852983988355166,0.21845425867507887,0.23901712583767684,0.007983345492020044
aflsmart-mixed,execs_done,5,826348.4,835663,783225,845635,24721.0138303428
aflsmart-mixed,paths_total,5,1371.4,1393,1286,1424,52.68111616129635
aflsmart-mixed,stability,5,100.0,100.0,100.0,100.0,0.0
aflsmart-mixed,distinct_PASS_profiles,5,47,46,42,53,4.183300132670378
aflsmart-mixed,distinct_FAIL_profiles,5,9.4,9,6,15,3.507135583350036
aflsmart-mixed,new_PASS_profiles,5,41,40,36,47,4.183300132670378
aflsmart-mixed,new_FAIL_profiles,5,7,6,4,13,3.4641016151377544
aflsmart-mixed,havoc_smart_retained,5,9.2,10,5,12,3.1144823004794873
aflsmart-mixed,jaccard_best_rank,5,1,1,1,1,0.0
aflsmart-mixed,jaccard_average_rank,5,5.5,3.5,3.0,9.0,3.2015621187164243
aflsmart-mixed,jaccard_worst_rank,5,10,6,5,17,6.4031242374328485
aflsmart-mixed,jaccard_exam_percentage,5,0.9121061359867331,0.5804311774461028,0.4975124378109453,1.492537313432836,0.5309389914952611
aflsmart-mixed,jaccard_tie_size,5,10,6,5,17,6.4031242374328485
aflsmart-mixed,jaccard_baseline_tied_above,5,0,0,0,0,0.0
aflsmart-mixed,jaccard_baseline_tied_below,5,7,11,0,12,6.4031242374328485
aflsmart-mixed,ochiai_best_rank,5,1,1,1,1,0.0
aflsmart-mixed,ochiai_average_rank,5,5.5,3.5,3.0,9.0,3.2015621187164243
aflsmart-mixed,ochiai_worst_rank,5,10,6,5,17,6.4031242374328485
aflsmart-mixed,ochiai_exam_percentage,5,0.9121061359867331,0.5804311774461028,0.4975124378109453,1.492537313432836,0.5309389914952611
aflsmart-mixed,ochiai_tie_size,5,10,6,5,17,6.4031242374328485
aflsmart-mixed,ochiai_baseline_tied_above,5,0,0,0,0,0.0
aflsmart-mixed,ochiai_baseline_tied_below,5,7,11,0,12,6.4031242374328485
aflsmart-nonstack,added_PASS,5,294.8,278,260,332,33.72239611889997
aflsmart-nonstack,added_FAIL,5,10.6,10,10,12,0.8944271909999159
aflsmart-nonstack,generated_UNRESOLVED,5,1087.6,1090,1012,1133,50.0729467876617
aflsmart-nonstack,usable_rate,5,0.2194458637759296,0.20784883720930233,0.1931575196008553,0.25258493353028066,0.025826728310251224
aflsmart-nonstack,execs_done,5,852315.2,857239,839549,861135,10441.6481074589
aflsmart-nonstack,paths_total,5,1412,1422,1373,1440,27.468163389640743
aflsmart-nonstack,stability,5,100.0,100.0,100.0,100.0,0.0
aflsmart-nonstack,distinct_PASS_profiles,5,45,42,41,54,5.612486080160912
aflsmart-nonstack,distinct_FAIL_profiles,5,8.8,9,7,10,1.0954451150103321
aflsmart-nonstack,new_PASS_profiles,5,39.2,36,35,48,5.449770637375485
aflsmart-nonstack,new_FAIL_profiles,5,6.4,7,4,8,1.816590212458495
aflsmart-nonstack,havoc_smart_retained,5,37.4,36,33,45,4.827007354458868
aflsmart-nonstack,jaccard_best_rank,5,1,1,1,1,0.0
aflsmart-nonstack,jaccard_average_rank,5,5.6,3.5,3.0,9.0,3.110466202999158
aflsmart-nonstack,jaccard_worst_rank,5,10.2,6,5,17,6.220932405998316
aflsmart-nonstack,jaccard_exam_percentage,5,0.9286898839137645,0.5804311774461028,0.4975124378109453,1.492537313432836,0.5158318744608886
aflsmart-nonstack,jaccard_tie_size,5,10.2,6,5,17,6.220932405998316
aflsmart-nonstack,jaccard_baseline_tied_above,5,0,0,0,0,0.0
aflsmart-nonstack,jaccard_baseline_tied_below,5,6.8,11,0,12,6.220932405998316
aflsmart-nonstack,ochiai_best_rank,5,1,1,1,1,0.0
aflsmart-nonstack,ochiai_average_rank,5,5.6,3.5,3.0,9.0,3.110466202999158
aflsmart-nonstack,ochiai_worst_rank,5,10.2,6,5,17,6.220932405998316
aflsmart-nonstack,ochiai_exam_percentage,5,0.9286898839137645,0.5804311774461028,0.4975124378109453,1.492537313432836,0.5158318744608886
aflsmart-nonstack,ochiai_tie_size,5,10.2,6,5,17,6.220932405998316
aflsmart-nonstack,ochiai_baseline_tied_above,5,0,0,0,0,0.0
aflsmart-nonstack,ochiai_baseline_tied_below,5,6.8,11,0,12,6.220932405998316
