mode,metric,n,mean,median,min,max,stdev
afl,added_PASS,1,82,82,82,82,0.0
afl,added_FAIL,1,7,7,7,7,0.0
afl,generated_UNRESOLVED,1,381,381,381,381,0.0
afl,usable_rate,1,0.18936170212765957,0.18936170212765957,0.18936170212765957,0.18936170212765957,0.0
afl,execs_done,1,49409,49409,49409,49409,0.0
afl,paths_total,1,488,488,488,488,0.0
afl,stability,1,100.0,100.0,100.0,100.0,0.0
afl,distinct_PASS_profiles,1,25,25,25,25,0.0
afl,distinct_FAIL_profiles,1,5,5,5,5,0.0
afl,new_PASS_profiles,1,20,20,20,20,0.0
afl,new_FAIL_profiles,1,4,4,4,4,0.0
afl,havoc_smart_retained,1,0,0,0,0,0.0
afl,jaccard_best_rank,1,1,1,1,1,0.0
afl,jaccard_average_rank,1,3.5,3.5,3.5,3.5,0.0
afl,jaccard_worst_rank,1,6,6,6,6,0.0
afl,jaccard_exam_percentage,1,0.5804311774461028,0.5804311774461028,0.5804311774461028,0.5804311774461028,0.0
afl,jaccard_tie_size,1,6,6,6,6,0.0
afl,jaccard_baseline_tied_above,1,0,0,0,0,0.0
afl,jaccard_baseline_tied_below,1,11,11,11,11,0.0
afl,ochiai_best_rank,1,1,1,1,1,0.0
afl,ochiai_average_rank,1,3.5,3.5,3.5,3.5,0.0
afl,ochiai_worst_rank,1,6,6,6,6,0.0
afl,ochiai_exam_percentage,1,0.5804311774461028,0.5804311774461028,0.5804311774461028,0.5804311774461028,0.0
afl,ochiai_tie_size,1,6,6,6,6,0.0
afl,ochiai_baseline_tied_above,1,0,0,0,0,0.0
afl,ochiai_baseline_tied_below,1,11,11,11,11,0.0
aflsmart-mixed,added_PASS,1,85,85,85,85,0.0
aflsmart-mixed,added_FAIL,1,15,15,15,15,0.0
aflsmart-mixed,generated_UNRESOLVED,1,454,454,454,454,0.0
aflsmart-mixed,usable_rate,1,0.18050541516245489,0.18050541516245489,0.18050541516245489,0.18050541516245489,0.0
aflsmart-mixed,execs_done,1,68312,68312,68312,68312,0.0
aflsmart-mixed,paths_total,1,572,572,572,572,0.0
aflsmart-mixed,stability,1,100.0,100.0,100.0,100.0,0.0
aflsmart-mixed,distinct_PASS_profiles,1,22,22,22,22,0.0
aflsmart-mixed,distinct_FAIL_profiles,1,6,6,6,6,0.0
aflsmart-mixed,new_PASS_profiles,1,17,17,17,17,0.0
aflsmart-mixed,new_FAIL_profiles,1,4,4,4,4,0.0
aflsmart-mixed,havoc_smart_retained,1,9,9,9,9,0.0
aflsmart-mixed,jaccard_best_rank,1,1,1,1,1,0.0
aflsmart-mixed,jaccard_average_rank,1,9.0,9.0,9.0,9.0,0.0
aflsmart-mixed,jaccard_worst_rank,1,17,17,17,17,0.0
